	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
2	{'reg_param': 0.2}	0.969637164111128	0.8436154949784792	0.9845500848896435	0.8377917558071344	0.961020552799433	0.7806451612903226	0.98328025477707	0.7940295131484726
1	{'reg_param': 0.1}	0.9682708364961288	0.8536585365853658	0.9818336162988115	0.8328650195788744	0.9603118355776046	0.7935483870967742	0.9808917197452229	0.7927135845125328
3	{'reg_param': 0.3}	0.9691817215727949	0.836441893830703	0.9848896434634975	0.83470021337065	0.959603118355776	0.7612903225806451	0.9840764331210191	0.7846517406764874
4	{'reg_param': 0.4}	0.9667526947016851	0.836441893830703	0.9821731748726655	0.8233232010979179	0.9574769666902906	0.7612903225806451	0.981687898089172	0.7746853358552976
5	{'reg_param': 0.5}	0.9637164111127979	0.836441893830703	0.9787775891341256	0.8096181355331152	0.9539333805811481	0.7806451612903226	0.9753184713375797	0.7624772900989834
6	{'reg_param': 0.6}	0.9621982693183543	0.836441893830703	0.9770797962648556	0.8029692167365268	0.9503897944720057	0.7806451612903226	0.9713375796178344	0.7477732882583662
7	{'reg_param': 0.7}	0.9593137999089115	0.8321377331420373	0.9743633276740238	0.7898047783458878	0.9461374911410347	0.7677419354838709	0.9681528662420382	0.7277390463411298
8	{'reg_param': 0.8}	0.9538484894489145	0.8321377331420373	0.968251273344652	0.7675664382790581	0.9433026222537207	0.7612903225806451	0.9657643312101911	0.7150884820776245
9	{'reg_param': 0.9}	0.9520267192955822	0.830703012912482	0.966383701188455	0.7601180248638139	0.9369241672572644	0.7548387096774194	0.9593949044585988	0.6896214307965676
0	{'reg_param': 0}	0.1442234704721421	0.9885222381635581	0.044312393887945674	0.051031723911364436	0.148830616583983	1.0	0.04378980891719745	0.0707493622461307
